"","(Intercept)","exposure","Log(scale)","param","model"
"1045",4.80633671866302,-0.16388280160353,-1.47713219387587,"coef","full"
"1046",0.0153397163468736,0.00793364908759614,0.0262792296821479,"se","full"
"1047",4.85773949848942,-0.154210391033996,-1.47160602555777,"coef","weighted"
"1048",0.0166341158819037,0.00786606142430102,0.0265025970979966,"se","weighted"
"1049",4.81958225860337,-0.165722121792868,-1.4587500129115,"coef","full"
"1050",0.0159726346613884,0.00833191549070934,0.026656550493886,"se","full"
"1051",4.87014777332078,-0.151244520962817,-1.45463294471689,"coef","weighted"
"1052",0.0171355707104948,0.00816871375556858,0.0266133638475862,"se","weighted"
"1053",4.80254091066864,-0.16000105610992,-1.46854528173183,"coef","full"
"1054",0.0151285278770231,0.00797250060726845,0.0261102749062275,"se","full"
"1055",4.85098454224718,-0.142336321986446,-1.47079137184492,"coef","weighted"
"1056",0.0162459273378402,0.00774869062762969,0.026126277141773,"se","weighted"
"1057",4.82747207226447,-0.164783026714373,-1.44092625122404,"coef","full"
"1058",0.0161548200992593,0.00826235711447004,0.0266620828918914,"se","full"
"1059",4.88153605516319,-0.142493993820307,-1.43080227676357,"coef","weighted"
"1060",0.0176085047339196,0.00792542154815767,0.0270999076246818,"se","weighted"
"1061",4.78498705866811,-0.14491871668079,-1.53575490370572,"coef","full"
"1062",0.0148112623832961,0.00773520087062561,0.026983984765997,"se","full"
"1063",4.82414602560927,-0.133217332847238,-1.54400442636943,"coef","weighted"
"1064",0.0157508611749395,0.00748345123940198,0.0270465364038753,"se","weighted"
"1065",4.82593956228046,-0.171576200450936,-1.44517656374098,"coef","full"
"1066",0.0160717035948376,0.00841874082876384,0.0264868842609722,"se","full"
"1067",NA,NA,NA,"coef","weighted"
"1068",NA,NA,NA,"se","weighted"
"1069",4.84037384905591,-0.173882555906836,-1.42368083927984,"coef","full"
"1070",0.0167493235835585,0.00877317786294034,0.0268091457678211,"se","full"
"1071",4.8888757497588,-0.155365693098893,-1.42163575621079,"coef","weighted"
"1072",0.0178795202466312,0.00837135238537696,0.0268649973899601,"se","weighted"
"1073",4.82822788633128,-0.17093369722366,-1.45915636681779,"coef","full"
"1074",0.0162786220076477,0.00847591098713515,0.0268987487388934,"se","full"
"1075",4.8756399096488,-0.156899227848027,-1.46055259462658,"coef","weighted"
"1076",0.017249848198884,0.00825127532819467,0.0267061251683093,"se","weighted"
"1077",4.81191672302847,-0.159521258291974,-1.45645704745576,"coef","full"
"1078",0.0155150875331881,0.00815914045697013,0.0263381114596105,"se","full"
"1079",4.8576716897107,-0.160471134185645,-1.46887054541928,"coef","weighted"
"1080",0.016631071213683,0.00831606972800572,0.0264886312060837,"se","weighted"
"1081",4.84174766870286,-0.166101783798802,-1.41681814629936,"coef","full"
"1082",0.0167274053695966,0.00858029647581523,0.0268958062892812,"se","full"
"1083",4.90031987169617,-0.160843622686814,-1.40254888406291,"coef","weighted"
"1084",0.0183144950796106,0.00870960627048622,0.0272865375686549,"se","weighted"
"1085",4.79374428998179,-0.146915691874567,-1.52336548966047,"coef","full"
"1086",0.0151747356236799,0.00784450499450954,0.0270822873704279,"se","full"
"1087",4.82886323915576,-0.130195818581691,-1.53432289048846,"coef","weighted"
"1088",0.0157335923027993,0.00718147465433902,0.0267137969068917,"se","weighted"
"1089",4.83519067895261,-0.160436436121811,-1.42360034893796,"coef","full"
"1090",0.0165909226667158,0.0086505962192449,0.0270595021920483,"se","full"
"1091",4.87663497420501,-0.137239472194947,-1.43378595130143,"coef","weighted"
"1092",0.0173983595829881,0.00804807154853475,0.0269112387869213,"se","weighted"
"1093",4.82049424594641,-0.165700473228766,-1.44877024464287,"coef","full"
"1094",0.0158309990248076,0.00829276914450541,0.026358916548166,"se","full"
"1095",4.86902733121043,-0.15338604307152,-1.45312508521083,"coef","weighted"
"1096",0.0169343154712962,0.00811998810635403,0.0264207680641464,"se","weighted"
"1097",4.83059272530692,-0.15106039217787,-1.41436359696348,"coef","full"
"1098",0.0163344610583108,0.00835084246747526,0.0267909230226297,"se","full"
"1099",4.87984325036413,-0.14229464560258,-1.4170750795348,"coef","weighted"
"1100",0.0175592928804076,0.0081949063854959,0.0270774088415466,"se","weighted"
"1101",4.79376291508202,-0.149752778609096,-1.46868678097946,"coef","full"
"1102",0.014849382982244,0.00784234052556169,0.0261137926855799,"se","full"
"1103",4.82597790859142,-0.134923135020557,-1.49888004650408,"coef","weighted"
"1104",0.0152615067804948,0.00719625611661521,0.0256832340714452,"se","weighted"
"1105",4.8281989637409,-0.159228933797206,-1.45601465199221,"coef","full"
"1106",0.0162922754040601,0.00837128138309924,0.0271433709164324,"se","full"
"1107",4.86568930126484,-0.150107640276359,-1.47166220965117,"coef","weighted"
"1108",0.0169778083709129,0.00785904478261167,0.0270192622902273,"se","weighted"
"1109",4.85682657078166,-0.169523634496623,-1.41069655445471,"coef","full"
"1110",0.017608606501278,0.008939494893597,0.0276888703334695,"se","full"
"1111",4.90243675153033,-0.154045882793019,-1.41094767780616,"coef","weighted"
"1112",0.0187517287663519,0.00853879133474603,0.027947455002242,"se","weighted"
"1113",4.81881923346233,-0.14999288573117,-1.45131324045459,"coef","full"
"1114",0.0160476165018502,0.00824689378245011,0.0270546235131423,"se","full"
"1115",4.85837117782192,-0.13709511267558,-1.46329855233902,"coef","weighted"
"1116",0.0168405431654889,0.00779497730895032,0.0269358610332649,"se","weighted"
"1117",4.81233330891837,-0.150483386723094,-1.47359680871407,"coef","full"
"1118",0.0157817032059098,0.00814229513487425,0.0270309817465721,"se","full"
"1119",4.85473755157351,-0.136574785823208,-1.48272628203532,"coef","weighted"
"1120",0.0167903459080439,0.00794774924208125,0.0270956310251129,"se","weighted"
"1121",4.8297865718222,-0.155724649342881,-1.42982590592622,"coef","full"
"1122",0.0163599758635571,0.00840578558804254,0.0268173498323764,"se","full"
"1123",4.87574181700779,-0.141794391280803,-1.43431471808424,"coef","weighted"
"1124",0.0175081065774992,0.00809450421724149,0.0270522948705874,"se","weighted"
"1125",4.81455660449366,-0.149975067441902,-1.44552747081936,"coef","full"
"1126",0.0155835107928231,0.00804627498695976,0.0263235066423813,"se","full"
"1127",4.86469532456563,-0.146551275604697,-1.45012968179824,"coef","weighted"
"1128",0.0166865255333647,0.00818416688029193,0.0261980802546712,"se","weighted"
"1129",4.77422599620513,-0.145402849529926,-1.53401372217995,"coef","full"
"1130",0.0141330401422452,0.00751547915600696,0.0261273164891753,"se","full"
"1131",4.81897933492695,-0.125939028134886,-1.53594663191469,"coef","weighted"
"1132",0.0149650626524104,0.00698417218450584,0.0260977004110271,"se","weighted"
"1133",4.8314662531829,-0.161898119446994,-1.44327003096729,"coef","full"
"1134",0.0165015202217396,0.00840024736526699,0.027153539086978,"se","full"
"1135",4.87774863136437,-0.148965520394717,-1.44245641194598,"coef","weighted"
"1136",0.0175199064362853,0.0079550631557618,0.0272494375971188,"se","weighted"
"1137",4.79242161824198,-0.141734479486007,-1.49547518881776,"coef","full"
"1138",0.0149061040795548,0.00784392647757586,0.0264962329399995,"se","full"
"1139",4.83451720197695,-0.131554489347722,-1.50357549082173,"coef","weighted"
"1140",0.0159192329307545,0.00754532108092934,0.0266452867142057,"se","weighted"
"1141",4.82040981843568,-0.164461543568399,-1.47045064414525,"coef","full"
"1142",0.0160636518216242,0.00838209151428919,0.0271275903843114,"se","full"
"1143",4.87023756130508,-0.153442641305381,-1.46091715960188,"coef","weighted"
"1144",0.0173187166617452,0.00806815667321019,0.0274461867147659,"se","weighted"
"1145",4.82228803426255,-0.157602901846427,-1.45022113772866,"coef","full"
"1146",0.0160039169743446,0.00823864081282136,0.0267613249342234,"se","full"
"1147",4.86844839592684,-0.146554364939187,-1.45491701166187,"coef","weighted"
"1148",0.0170805096174778,0.00808736594976962,0.0268559600583337,"se","weighted"
"1149",4.82206749380318,-0.161595915050822,-1.4508902121438,"coef","full"
"1150",0.0158936056903586,0.00819735518700844,0.0265139713191897,"se","full"
"1151",4.86813340575596,-0.148371808227997,-1.45556259501692,"coef","weighted"
"1152",0.016837491728595,0.00794290831761053,0.0263303299999997,"se","weighted"
"1153",4.78818408949811,-0.144437537516343,-1.52313452046445,"coef","full"
"1154",0.0148737198616059,0.00780730174060024,0.0267961845438207,"se","full"
"1155",4.8368161175878,-0.137407913063763,-1.51548052973492,"coef","weighted"
"1156",0.0160347138782804,0.00773090612807923,0.0267810279448521,"se","weighted"
"1157",4.80770784056648,-0.141725917369504,-1.46927349248613,"coef","full"
"1158",0.0155654734499583,0.00798810459188733,0.0268508446529119,"se","full"
"1159",4.8577507536359,-0.132236918230911,-1.46580204962011,"coef","weighted"
"1160",0.0168233801301488,0.0078959145562413,0.0271353675816502,"se","weighted"
"1161",4.83240498709817,-0.163148645733089,-1.44888656354486,"coef","full"
"1162",0.0164837052632938,0.00861641303262201,0.0271322236681512,"se","full"
"1163",4.88610538169,-0.15040722328669,-1.43710633847005,"coef","weighted"
"1164",0.0179119862286127,0.00852110268193009,0.0275093036852624,"se","weighted"
"1165",32.1165140124389,0.354827302121102,-216.539864248734,"coef","full"
"1166",0,0,1.29449562406991e-89,"se","full"
"1167",4.84532993789769,-0.126234162213588,-1.4804006503023,"coef","weighted"
"1168",0.0162794183141835,0.00736457290209507,0.0265925122880166,"se","weighted"
"1169",4.82271266498648,-0.161684879708443,-1.43435368899779,"coef","full"
"1170",0.0158518213526327,0.00819794752575934,0.0263313646343436,"se","full"
"1171",4.87105771531097,-0.152983031574711,-1.43655087991437,"coef","weighted"
"1172",0.0171143322348305,0.0080267993604867,0.026686433261345,"se","weighted"
"1173",4.84560254733181,-0.165778110426128,-1.4101044434018,"coef","full"
"1174",0.0168695857530924,0.00849591468813785,0.0268788432442295,"se","full"
"1175",4.8854398430687,-0.15759274685514,-1.43044163250166,"coef","weighted"
"1176",0.017544203530719,0.00829063568967685,0.02644704630959,"se","weighted"
"1177",4.78701058945358,-0.163054914415682,-1.48334021500929,"coef","full"
"1178",0.0144025656961135,0.00766021552190248,0.0254623185728617,"se","full"
"1179",4.83851295164001,-0.147851861043181,-1.48590809713343,"coef","weighted"
"1180",0.0155511257124077,0.00749606559040375,0.0255803738364453,"se","weighted"
"1181",4.8535139910718,-0.159628698179468,-1.40838043478914,"coef","full"
"1182",0.0174541620642757,0.00868429829469505,0.0275449578935713,"se","full"
"1183",4.89819437302087,-0.154445210692943,-1.41060217158333,"coef","weighted"
"1184",0.0185731570473724,0.00842854613813158,0.0278186416954241,"se","weighted"
"1185",4.81752181437768,-0.153452786412278,-1.45263550382323,"coef","full"
"1186",0.0158530105516238,0.00814799731770062,0.0267906107715941,"se","full"
"1187",4.86358084449878,-0.141922419892518,-1.45615090568718,"coef","weighted"
"1188",0.0168574690805454,0.00789720726304167,0.0267174093416866,"se","weighted"
"1189",4.84069412030414,-0.173409869576785,-1.44482287369549,"coef","full"
"1190",0.0167758134315079,0.00855696450447572,0.0269858180394847,"se","full"
"1191",4.87738238229152,-0.159017212552722,-1.46059246363384,"coef","weighted"
"1192",0.0174731883954265,0.00800502685517333,0.0269426951014229,"se","weighted"
"1193",4.82099249794102,-0.150429673265723,-1.48545557310437,"coef","full"
"1194",0.0164914037683714,0.00831396491025197,0.027866204296755,"se","full"
"1195",4.86107359723513,-0.143285190931471,-1.49274468876314,"coef","weighted"
"1196",0.0173639533240814,0.00819868909151018,0.027744154960883,"se","weighted"
"1197",4.8208369295687,-0.167529845443849,-1.46413235988262,"coef","full"
"1198",0.015945274384539,0.0084128444139524,0.0266654298487191,"se","full"
