"","intercept","exposure","log_scale","param","model"
"156",0.0559497203091511,0.0245287438989988,0.0400378135227262,"se","weighted"
"157",NA,0.627024291206432,NA,"coef","coxfull"
"158",NA,0.042857190007592,NA,"se","coxfull"
"159",NA,0.625548904053552,NA,"coef","coxweighted"
"160",NA,0.0530932415567453,NA,"se","coxweighted"
"161",5.09788865133371,-0.36146005414348,-0.638376427595032,"coef","full"
"162",0.0609320272707999,0.0281153120457491,0.0425221176282328,"se","full"
"163",5.10574237493993,-0.385505030536309,-0.636635147333701,"coef","weighted"
"164",0.0605264220034383,0.0270190463708358,0.042624160784846,"se","weighted"
"165",NA,0.685229058199452,NA,"coef","coxfull"
"166",NA,0.0454601161505151,NA,"se","coxfull"
"167",NA,0.728726321556525,NA,"coef","coxweighted"
"168",NA,0.0597255148756043,NA,"se","coxweighted"
"169",5.17499747163931,-0.399421174350896,-0.568401255009484,"coef","full"
"170",0.0635860525675325,0.0301807704995184,0.0414354111442225,"se","full"
"171",5.20287354922757,-0.416412285002407,-0.547240175952527,"coef","weighted"
"172",0.0650236575963358,0.0295269232220693,0.0426378931523408,"se","weighted"
"173",NA,0.704580631588345,NA,"coef","coxfull"
"174",NA,0.0455587144109024,NA,"se","coxfull"
"175",NA,0.720497109892087,NA,"coef","coxweighted"
"176",NA,0.0633845497416711,NA,"se","coxweighted"
"177",5.0665111623471,-0.354432922555319,-0.612408187201828,"coef","full"
"178",0.0570805809614203,0.0282941087302958,0.0403947592106848,"se","full"
"179",5.09234611010048,-0.359526160404206,-0.606259315891315,"coef","weighted"
"180",0.0570422371031351,0.0286850515294188,0.0396013332302455,"se","weighted"
"181",NA,0.65420591812125,NA,"coef","coxfull"
"182",NA,0.0458985574818666,NA,"se","coxfull"
"183",NA,0.658675113273223,NA,"coef","coxweighted"
"184",NA,0.0598932695073308,NA,"se","coxweighted"
"185",5.04052190829396,-0.388817411259558,-0.619516067632292,"coef","full"
"186",0.0541148771701877,0.0271381493197543,0.0386234825573546,"se","full"
"187",5.05627886501826,-0.383826528736984,-0.608094472779208,"coef","weighted"
"188",0.0536798540465097,0.0251811277343944,0.0381035964947323,"se","weighted"
"189",NA,0.722570059195798,NA,"coef","coxfull"
"190",NA,0.043121550172589,NA,"se","coxfull"
"191",NA,0.704835279983726,NA,"coef","coxweighted"
"192",NA,0.052715570360561,NA,"se","coxweighted"
"193",5.13278637378845,-0.383111205743071,-0.588401806188355,"coef","full"
"194",0.0608369589019775,0.0286315349373665,0.0409709061963682,"se","full"
"195",5.12754863918608,-0.379004474584088,-0.596118112747249,"coef","weighted"
"196",0.0595161566221064,0.0276457295001549,0.0403040491407187,"se","weighted"
"197",NA,0.689820771995006,NA,"coef","coxfull"
"198",NA,0.0443157457839966,NA,"se","coxfull"
"199",NA,0.686457751035746,NA,"coef","coxweighted"
"200",NA,0.0583356785145519,NA,"se","coxweighted"
"201",5.14627922197507,-0.379834681467844,-0.573596850011482,"coef","full"
"202",0.0615518459475051,0.0290643455604199,0.040994830402159,"se","full"
"203",5.13084811971523,-0.391506229881762,-0.596285365467391,"coef","weighted"
